"county","year","total_cases","total_deaths"
"Cerro Gordo",2022,11156,170
"Chaffee",2020,1072,21
"Chaffee",2021,2868,38
"Chaffee",2022,4749,47
"Chambers",2020,4993,89
"Chambers",2021,15456,249
"Chambers",2022,20214,274
"Champaign",2020,15871,111
"Champaign",2021,44106,332
"Champaign",2022,75905,443
"Chariton",2020,337,3
"Chariton",2021,1289,32
"Chariton",2022,1718,38
"Charles",2020,6117,124
"Charles",2021,18451,271
"Charles",2022,28950,353
"Charles City",2020,195,8
"Charles City",2021,829,22
"Charles City",2022,1191,27
"Charles Mix",2020,1112,11
"Charles Mix",2021,2137,32
"Charles Mix",2022,2942,35
"Charleston",2020,24202,321
"Charleston",2021,71954,755
"Charleston",2022,112905,945
"Charlevoix",2020,849,10
"Charlevoix",2021,3412,52
"Charlevoix",2022,5014,60
"Charlotte",2020,7790,237
"Charlotte",2021,26312,706
"Charlotte",2022,39068,857
"Charlottesville city",2020,2222,34
"Charlottesville city",2021,6225,64
"Charlottesville city",2022,9466,74
"Charlton",2020,1033,19
"Charlton",2021,2350,58
"Charlton",2022,3067,62
"Chase",2020,607,6
"Chase",2021,1121,12
"Chase",2022,1422,14
"Chatham",2020,16667,304
"Chatham",2021,49338,838
"Chatham",2022,77671,1000
"Chattahoochee",2020,2210,3
"Chattahoochee",2021,6307,21
"Chattahoochee",2022,7486,22
